team,season,error
Eastern Michigan,2021,Missing game_id or date columns
Eastern Washington,2021,Missing game_id or date columns
Elon,2021,Missing game_id or date columns
Evansville,2021,Missing game_id or date columns
FIU,2021,Missing game_id or date columns
Fairfield,2021,Missing game_id or date columns
Fairleigh Dickinson,2021,Missing game_id or date columns
Florida,2021,Missing game_id or date columns
Florida A&M,2021,Missing game_id or date columns
Florida Atlantic,2021,Missing game_id or date columns
Florida Gulf Coast,2021,Missing game_id or date columns
Florida St.,2021,Missing game_id or date columns
Fordham,2021,Missing game_id or date columns
Fresno St.,2021,Missing game_id or date columns
Furman,2021,Missing game_id or date columns
Gardner Webb,2021,Missing game_id or date columns
George Mason,2021,Missing game_id or date columns
George Washington,2021,Missing game_id or date columns
Georgetown,2021,Missing game_id or date columns
Georgia,2021,Missing game_id or date columns
Georgia Southern,2021,Missing game_id or date columns
Georgia St.,2021,Missing game_id or date columns
Georgia Tech,2021,Missing game_id or date columns
Gonzaga,2021,Missing game_id or date columns
Grambling St.,2021,Missing game_id or date columns
Grand Canyon,2021,Missing game_id or date columns
Green Bay,2021,Missing game_id or date columns
Hampton,2021,Missing game_id or date columns
Hartford,2021,Missing game_id or date columns
Harvard,2021,Missing game_id or date columns
Hawaii,2021,Missing game_id or date columns
High Point,2021,Missing game_id or date columns
Hofstra,2021,Missing game_id or date columns
Holy Cross,2021,Missing game_id or date columns
Horz,2021,Missing game_id or date columns
Houston,2021,Missing game_id or date columns
Houston Christian,2021,Missing game_id or date columns
Howard,2021,Missing game_id or date columns
IU Indy,2021,Missing game_id or date columns
Idaho,2021,Missing game_id or date columns
Idaho St.,2021,Missing game_id or date columns
Illinois,2021,Missing game_id or date columns
Illinois Chicago,2021,Missing game_id or date columns
Illinois St.,2021,Missing game_id or date columns
Incarnate Word,2021,Missing game_id or date columns
Indiana,2021,Missing game_id or date columns
Indiana St.,2021,Missing game_id or date columns
Iona,2021,Missing game_id or date columns
Iowa,2021,Missing game_id or date columns
Iowa St.,2021,Missing game_id or date columns
Ivy,2021,Missing game_id or date columns
Jackson St.,2021,Missing game_id or date columns
Jacksonville,2021,Missing game_id or date columns
Jacksonville St.,2021,Missing game_id or date columns
James Madison,2021,Missing game_id or date columns
Kansas,2021,Missing game_id or date columns
Kansas St.,2021,Missing game_id or date columns
Kennesaw St.,2021,Missing game_id or date columns
Kent St.,2021,Missing game_id or date columns
Kentucky,2021,Missing game_id or date columns
LIU,2021,Missing game_id or date columns
LSU,2021,Missing game_id or date columns
La Salle,2021,Missing game_id or date columns
Lafayette,2021,Missing game_id or date columns
Lamar,2021,Missing game_id or date columns
Le Moyne,2021,Missing game_id or date columns
Lehigh,2021,Missing game_id or date columns
Liberty,2021,Missing game_id or date columns
Lindenwood,2021,Missing game_id or date columns
Lipscomb,2021,Missing game_id or date columns
Little Rock,2021,Missing game_id or date columns
Long Beach St.,2021,Missing game_id or date columns
Longwood,2021,Missing game_id or date columns
Louisiana,2021,Missing game_id or date columns
Louisiana Monroe,2021,Missing game_id or date columns
Louisiana Tech,2021,Missing game_id or date columns
Louisville,2021,Missing game_id or date columns
Loyola Chicago,2021,Missing game_id or date columns
Loyola MD,2021,Missing game_id or date columns
Loyola Marymount,2021,Missing game_id or date columns
MAAC,2021,Missing game_id or date columns
MAC,2021,Missing game_id or date columns
MEAC,2021,Missing game_id or date columns
MVC,2021,Missing game_id or date columns
MWC,2021,Missing game_id or date columns
Maine,2021,Missing game_id or date columns
Manhattan,2021,Missing game_id or date columns
Marist,2021,Missing game_id or date columns
Marquette,2021,Missing game_id or date columns
Marshall,2021,Missing game_id or date columns
Maryland,2021,Missing game_id or date columns
Maryland Eastern Shore,2021,Missing game_id or date columns
Massachusetts,2021,Missing game_id or date columns
McNeese St.,2021,Missing game_id or date columns
Memphis,2021,Missing game_id or date columns
Mercer,2021,Missing game_id or date columns
Merrimack,2021,Missing game_id or date columns
Miami FL,2021,Missing game_id or date columns
Miami OH,2021,Missing game_id or date columns
Michigan,2021,Missing game_id or date columns
Michigan St.,2021,Missing game_id or date columns
Middle Tennessee,2021,Missing game_id or date columns
Milwaukee,2021,Missing game_id or date columns
Minnesota,2021,Missing game_id or date columns
Mississippi,2021,Missing game_id or date columns
Mississippi St.,2021,Missing game_id or date columns
Mississippi Valley St.,2021,Missing game_id or date columns
Missouri,2021,Missing game_id or date columns
Missouri St.,2021,Missing game_id or date columns
Monmouth,2021,Missing game_id or date columns
Montana,2021,Missing game_id or date columns
Montana St.,2021,Missing game_id or date columns
Morehead St.,2021,Missing game_id or date columns
Morgan St.,2021,Missing game_id or date columns
Mount St. Mary's,2021,Missing game_id or date columns
Murray St.,2021,Missing game_id or date columns
N.C. State,2021,Missing game_id or date columns
NEC,2021,Missing game_id or date columns
NJIT,2021,Missing game_id or date columns
Navy,2021,Missing game_id or date columns
Nebraska,2021,Missing game_id or date columns
Nebraska Omaha,2021,Missing game_id or date columns
Nevada,2021,Missing game_id or date columns
New Hampshire,2021,Missing game_id or date columns
New Mexico,2021,Missing game_id or date columns
New Mexico St.,2021,Missing game_id or date columns
New Orleans,2021,Missing game_id or date columns
Niagara,2021,Missing game_id or date columns
Nicholls St.,2021,Missing game_id or date columns
Norfolk St.,2021,Missing game_id or date columns
North Alabama,2021,Missing game_id or date columns
North Carolina,2021,Missing game_id or date columns
North Carolina A&T,2021,Missing game_id or date columns
North Carolina Central,2021,Missing game_id or date columns
North Dakota,2021,Missing game_id or date columns
North Dakota St.,2021,Missing game_id or date columns
North Florida,2021,Missing game_id or date columns
North Texas,2021,Missing game_id or date columns
Northeastern,2021,Missing game_id or date columns
Northern Arizona,2021,Missing game_id or date columns
Northern Colorado,2021,Missing game_id or date columns
Northern Illinois,2021,Missing game_id or date columns
Northern Iowa,2021,Missing game_id or date columns
Northern Kentucky,2021,Missing game_id or date columns
Northwestern,2021,Missing game_id or date columns
Northwestern St.,2021,Missing game_id or date columns
Notre Dame,2021,Missing game_id or date columns
OVC,2021,Missing game_id or date columns
Oakland,2021,Missing game_id or date columns
Ohio,2021,Missing game_id or date columns
Ohio St.,2021,Missing game_id or date columns
Oklahoma,2021,Missing game_id or date columns
Oklahoma St.,2021,Missing game_id or date columns
Old Dominion,2021,Missing game_id or date columns
Oral Roberts,2021,Missing game_id or date columns
Oregon,2021,Missing game_id or date columns
Oregon St.,2021,Missing game_id or date columns
P12,2021,Missing game_id or date columns
Pacific,2021,Missing game_id or date columns
Pat,2021,Missing game_id or date columns
Penn,2021,Missing game_id or date columns
Penn St.,2021,Missing game_id or date columns
Pepperdine,2021,Missing game_id or date columns
Pittsburgh,2021,Missing game_id or date columns
Portland,2021,Missing game_id or date columns
Portland St.,2021,Missing game_id or date columns
Prairie View A&M,2021,Missing game_id or date columns
Presbyterian,2021,Missing game_id or date columns
Princeton,2021,Missing game_id or date columns
Providence,2021,Missing game_id or date columns
