Rk,Team,Eff,FTAR,FT%,FGAR,FG%,3PAR,3P%,MRAR,MR%,NPAR,NP%,PPSt,PPSC,SCC%,%3PA,%MRA,%NPA,Prox,AP%
12,Iowa State (25-10),120.65,30.60,75.15,85.97,49.92,31.17,37.91,20.49,38.70,34.30,67.55,18.30,15.94,8.06,36.26,23.84,39.90,1.964,0.970
13,Arizona (24-13),126.34,32.93,78.37,89.53,49.91,30.14,37.05,22.61,40.65,36.78,66.14,14.34,16.59,8.32,33.66,25.25,41.09,1.926,0.967
14,Purdue (24-12),126.90,31.09,72.76,89.75,50.47,34.07,40.16,28.22,44.52,27.46,69.39,13.83,15.86,7.95,37.96,31.44,30.59,2.074,0.964
15,St. John's (31-5),117.35,29.99,69.29,94.75,45.40,32.24,32.69,25.70,36.93,36.80,62.44,18.14,24.66,9.89,34.03,27.13,38.84,1.952,0.961
16,Texas A&M (23-11),118.58,36.91,69.43,90.38,44.86,34.69,34.20,21.05,34.77,34.64,61.67,15.19,22.39,9.11,38.38,23.29,38.33,2.001,0.959
17,Illinois (22-13),124.22,31.69,77.87,89.33,48.17,39.81,33.88,17.03,41.01,32.49,69.43,8.94,15.05,6.80,44.56,19.06,36.38,2.082,0.953
18,Missouri (22-12),127.13,37.98,73.60,86.51,49.47,34.97,38.86,16.86,38.66,34.69,65.42,18.12,15.97,6.83,40.42,19.48,40.10,2.003,0.953
19,Kansas (21-13),118.43,24.81,72.87,90.12,49.20,30.84,37.90,27.39,42.22,31.89,66.11,12.62,15.36,7.05,34.22,30.39,35.39,1.988,0.953
20,BYU (26-10),126.05,27.86,70.64,89.78,50.51,40.65,38.53,16.77,45.93,32.36,67.94,13.71,14.81,6.62,45.28,18.68,36.04,2.092,0.948
21,Kentucky (24-12),124.06,31.57,72.59,85.77,50.90,34.33,40.30,17.79,39.09,33.66,67.95,13.77,13.12,6.75,40.02,20.74,39.24,2.008,0.945
22,UCLA (23-11),120.17,29.48,70.16,89.88,48.25,33.32,38.25,29.08,41.10,27.49,67.94,15.18,16.55,6.26,37.07,32.35,30.58,2.065,0.942
23,Saint Mary's (29-6),116.39,29.36,69.03,94.52,45.45,31.48,32.40,25.50,38.46,37.54,61.15,8.48,20.90,7.36,33.31,26.97,39.71,1.936,0.939
24,Michigan (27-10),117.93,32.03,72.55,86.27,48.08,33.86,34.63,15.12,44.26,37.29,61.86,11.38,18.18,8.01,39.25,17.53,43.22,1.960,0.937
25,Clemson (27-7),120.81,27.22,77.35,92.41,47.09,34.55,36.79,23.66,42.81,34.19,60.47,12.44,17.40,7.24,37.39,25.61,37.00,2.004,0.934
26,Ole Miss (24-12),121.57,30.90,73.78,89.61,47.73,34.83,37.96,23.45,38.99,31.34,65.14,17.09,14.14,6.20,38.86,26.17,34.97,2.039,0.931
27,Oregon (25-10),118.87,29.05,76.39,87.86,48.24,32.54,36.59,22.05,43.55,33.27,62.74,14.11,17.04,7.64,37.03,25.10,37.87,1.992,0.928
