game_id,team,player,player_id,position,starter,min,fgm,fga,2pm,2pa,3pm,3pa,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf
401825474,Michigan,T. McKenney,5041954,G,False,22.0,3,8,1,3,2,5,3,3,11,3,0,1,1,0,0,3,1
401825464,Ohio State,A. Bynum,5196946,F,True,29.0,2,5,1,2,1,3,0,0,5,2,0,1,0,0,0,2,4
401825464,Ohio State,D. Royal,4895776,F,True,36.0,2,8,2,4,0,4,0,0,4,1,1,1,0,0,0,1,4
401825464,Ohio State,C. Tilly,5109790,C,True,30.0,6,12,4,8,2,4,3,5,17,4,2,3,2,0,3,1,3
401825464,Ohio State,B. Thornton,5105837,G,True,34.0,3,11,2,6,1,5,3,4,10,9,2,2,1,0,2,7,3
401825464,Ohio State,J. Mobley Jr.,5060708,G,True,35.0,9,16,5,7,4,9,0,0,22,1,2,4,2,0,0,1,1
401825464,Ohio State,C. White,5101675,F,False,9.0,1,2,1,1,0,1,0,0,2,2,1,0,0,0,1,1,2
401825464,Ohio State,I. Njegovan,5239599,C,False,10.0,1,2,1,2,0,0,0,0,2,1,0,0,1,1,0,1,2
401825464,Ohio State,P. Johnson,4701846,G,False,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
401825464,Ohio State,G. Cupps,4845387,G,False,7.0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
401825464,Ohio State,T. Chatman,4685646,G,False,6.0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
401825464,Michigan,Y. Lendeborg,5175737,F,True,31.0,7,13,6,8,1,5,3,7,18,9,4,4,3,0,6,3,3
401825464,Michigan,M. Johnson Jr.,4873153,F,True,27.0,6,6,6,6,0,0,0,0,12,7,1,1,1,1,0,7,4
401825464,Michigan,A. Mara,5174983,C,True,29.0,3,4,3,4,0,0,5,7,11,6,1,4,2,4,2,4,3
401825464,Michigan,E. Cadeau,4869764,G,True,25.0,2,4,0,0,2,4,0,0,6,0,8,4,1,0,0,0,3
401825464,Michigan,N. Burnett,4433138,G,True,14.0,1,6,0,2,1,4,1,2,4,1,2,0,1,0,0,1,0
401825464,Michigan,W. Tschetter,4684596,F,False,14.0,0,2,0,0,0,2,0,0,0,3,0,1,0,0,2,1,1
401825464,Michigan,L.J. Cason,5214641,G,False,18.0,3,6,3,3,0,3,0,1,6,1,0,0,2,0,0,1,1
401825464,Michigan,R. Gayle Jr.,5105836,G,False,21.0,2,6,2,4,0,2,1,2,5,4,0,0,0,1,2,2,0
